dataset,category,spatial_resolution,temporal_resolution_or_coverage,purpose,license_or_sharing_note,repository_note
CHIRPS v2.0,Precipitation forcing,0.05 degrees,Daily,Primary rainfall forcing for WRF-Hydro simulation,Public source; provider license and citation rules apply,Raw data not redistributed by default
ERA5 reanalysis,Atmospheric forcing,~0.25 degrees resampled to 0.05 degrees,Hourly aggregated to daily,"Temperature, radiation, humidity, wind, and pressure forcing",Copernicus/provider terms apply,Provide download and processing scripts where possible
HydroSHEDS / SRTM,DEM and drainage,~90 m aggregated to 0.05 degrees,Static,"Flow direction, flow accumulation, drainage-network structure, and terrain controls",Source license applies,Raw data not redistributed by default
Landsat-derived products,Land cover,~30 m aggregated to 0.05 degrees,Annual/static representation,"Vegetation, surface roughness, and land-surface parameterization",Source license applies,Document product name and version
HWSD v2.0,Soil properties,~1 km aggregated to 0.05 degrees,Static,"Soil texture, infiltration, and subsurface-storage representation",Source license applies,Document product name and version
G-RUN ENSEMBLE,Runoff/reanalysis benchmark,0.5 degrees mapped to 0.05 degree model grid,Historical runoff/reanalysis period,Residual construction and benchmark-relative comparison only,Not observed discharge; not independent validation,Do not describe as ground truth
GRDC station records,Gauge-based discharge evidence,Station locations,Historical station-specific records,Discharge assessment where gauge data are available,GRDC restrictions may apply,Share derived statistics and metadata only if raw data are restricted
GloFAS v4 consolidated historical discharge,External discharge reference,0.05 degrees,Daily; 2020-2024 subset used,Post-2019 river-discharge assessment and high-flow comparison,Copernicus terms apply,Share processing scripts and derived statistics
Global Flood Database,Historical satellite flood evidence,MODIS event maps,2000-2018 flood events,Satellite-supported flood-event extent and duration evidence,Public source; provider rules apply,Include processed event statistics where permitted
JRC Global Surface Water,Permanent-water mask,30 m,Long-term surface-water occurrence/seasonality,Lake Volta and perennial-water exclusion before event flood-area calculation,Public source; provider rules apply,Include processed water-mask statistics where permitted
Sentinel-1 GRD,Recent SAR flood evidence,~10 m SAR backscatter,Event/wet-season composites,Cloud-independent SAR-supported spatial flood evidence,ESA/Copernicus terms apply,Share event IDs and scripts if raw data redistribution is restricted
amjjaso_predictions.csv,Processed domain-level prediction series,Domain time series,AMJJASO rows,Reproduces streamflow metrics and main figures,Author-generated derivative,Included if available
lstm_training_history_for_Fig_S2.csv,LSTM training history,Epoch table,Training epochs,Reproduces Fig. S2,Author-generated derivative,Include after training
Table_S3_domain_based_AMJJASO_residual_baseline_populated.csv,Processed residual-baseline metrics,Table,Held-out AMJJASO test period,Reproduces Supplementary Table S3,Author-generated derivative,Included if available


